date_id,datetime_id,market,rpt_key,last,diff_24h,diff_per_24h,bid,ask,low,high,volume,created_at,updated_at
2017-06-01,2017-06-01 10:27:00,okcoin,btc_usd,2442.63,2208.84,10.5842885859,2442.62,2442.63,2129.78,2465.37,4960.162,2017-06-01 01:26:38,2017-06-01 01:26:38
2017-06-01,2017-06-01 10:27:00,korbit,etc_krw,21700,24240,-10.4785478548,21700,21720,21000,24350,641187.4271708147,2017-06-01 01:26:38,2017-06-01 01:26:38
2017-06-01,2017-06-01 10:27:00,bitflyer,eth_btc,0.0968,0.10598,-8.6620117003,0.09678,0.0968,0.09678,0.0968,15354.4092916,2017-06-01 01:25:38,2017-06-01 01:25:38
2017-06-01,2017-06-01 10:27:00,korbit,eth_krw,293900,326000,-9.8466257669,291500,291050,274000,329450,245615.2842389685,2017-06-01 01:26:38,2017-06-01 01:26:38
2017-06-01,2017-06-01 10:27:00,bitflyer,fx_btc_jpy,273900,263184,4.0716760897,273890,273900,273890,273900,65580.5228805,2017-06-01 01:24:37,2017-06-01 01:24:37
2017-06-01,2017-06-01 10:27:00,okcoin,ltc_usd,27.121,24.642,10.0600600601,27.12,27.121,23.2,27.35,224890.836,2017-06-01 01:26:38,2017-06-01 01:26:38
2017-06-01,2017-06-01 10:28:00,bitstamp,btc_eur,2073.4,1992.63,4.053436915,2063.24,2073.4,1955.9,2083.99,2141.79833744,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,bitflyer,btc_jpy,268200,263400,1.8223234624,268105,268200,268105,268200,65601.9085691,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,korbit,btc_krw,3051000,3141000,-2.8653295129,3051000,3053500,3002000,3150000,6446.70176385,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,bitstamp,btc_usd,2324,2218,4.7790802525,2317.91,2321.99,2154.28,2334,16717.41979216,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,okcoin,btc_usd,2441.31,2208.28,10.552556741,2441.3,2441.38,2129.78,2465.37,4960.33,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,korbit,etc_krw,21590,24350,-11.3347022587,21590,21600,21000,24340,643157.7265610749,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,bitflyer,eth_btc,0.09695,0.10598,-8.5204755614,0.0968,0.09691,0.0968,0.09691,15369.9092916,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,korbit,eth_krw,292000,327300,-10.7852123434,292000,293000,274000,329450,245517.5633709303,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,bitflyer,fx_btc_jpy,273358,263198,3.8602117037,273358,273798,273358,273798,65601.9085691,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:28:00,okcoin,ltc_usd,27.12,24.626,10.1275075124,27.12,27.121,23.2,27.35,224980.016,2017-06-01 01:27:37,2017-06-01 01:27:37
2017-06-01,2017-06-01 10:29:00,bitstamp,btc_eur,2077.14,1999.06,3.9058357428,2064.97,2077.14,1955.9,2083.99,2142.83169838,2017-06-01 01:28:38,2017-06-01 01:28:38
